Order No,Order Date,Line No,Ship To Address No,Item Code,Order Qty,Quantity Shipped
528817,1/3/2019,1,43824769,1038323,2,2
528817,1/3/2019,2,43824769,1038324,1,1
528817,1/3/2019,3,43824769,1041108,1,1
528817,1/3/2019,4,43824769,1040992,1,1
528818,1/3/2019,1,1551997,1038323,2,2
528818,1/3/2019,2,1551997,1038324,1,1
528818,1/3/2019,3,1551997,1041108,1,1
528819,1/3/2019,1,1912451,1039305,1,1
528822,1/3/2019,1,1254731,10105916,1,1
528822,1/3/2019,2,1254731,1039306,1,1
528822,1/3/2019,3,1254731,1038323,2,2
528822,1/3/2019,4,1254731,1038324,2,2
528822,1/3/2019,5,1254731,1040991,1,1
528837,1/3/2019,1,1509644,1041108,1,1
528837,1/3/2019,2,1509644,110441,1,1
528838,1/3/2019,1,1833483,10105916,1,1
528839,1/3/2019,1,43824719,10098739,3,3
528839,1/3/2019,2,43824719,110441,1,1
528840,1/3/2019,1,1912760,10098739,6,6
528841,1/3/2019,1,43823573,10098739,5,5
528842,1/3/2019,1,1431059,10106229,1,1
528843,1/3/2019,1,1543903,110441,2,2
528843,1/3/2019,2,1543903,10105916,2,2
528843,1/3/2019,3,1543903,10098739,5,5
528844,1/3/2019,1,1967598,10098739,13,13
528845,1/3/2019,1,1431057,10098739,8,8
528846,1/3/2019,1,43823773,10098739,12,12
528846,1/3/2019,2,43823773,110441,3,3
528847,1/3/2019,1,1833299,10098739,12,12
528847,1/3/2019,2,1833299,10105916,2,2
528847,1/3/2019,3,1833299,110441,3,3
528849,1/3/2019,1,2269692,10098739,2,2
528850,1/3/2019,1,43824727,10098739,2,2
528852,1/3/2019,1,2269872,10098739,6,6
528852,1/3/2019,2,2269872,10106229,1,1
528853,1/3/2019,1,43824315,10098739,10,10
528853,1/3/2019,2,43824315,110441,2,2
528853,1/3/2019,3,43824315,10106229,1,1
528855,1/3/2019,1,2208690,10098739,1,1
528855,1/3/2019,2,2208690,10105916,2,2
528856,1/3/2019,1,2269693,10106229,2,2
528856,1/3/2019,2,2269693,110441,6,6
528856,1/3/2019,3,2269693,10105916,1,1
528856,1/3/2019,4,2269693,10098739,8,8
528857,1/3/2019,1,43824731,10106229,3,3
528857,1/3/2019,2,43824731,110441,2,2
528857,1/3/2019,3,43824731,10106230,1,1
528857,1/3/2019,4,43824731,10105916,2,2
528857,1/3/2019,5,43824731,10098739,5,5
528858,1/3/2019,1,2168582,10098739,4,4
528858,1/3/2019,2,2168582,10106229,1,1
528859,1/3/2019,1,43824735,10098739,6,6
528859,1/3/2019,2,43824735,10105916,2,2
528859,1/3/2019,3,43824735,110441,3,3
528860,1/3/2019,1,1930116,1038323,1,1
528860,1/3/2019,2,1930116,1038324,1,1
528860,1/3/2019,3,1930116,10098739,3,3
528861,1/3/2019,1,43823773,10105916,1,1
528861,1/3/2019,2,43823773,1038323,1,1
528861,1/3/2019,3,43823773,1038324,1,1
528861,1/3/2019,4,43823773,110441,2,2
528861,1/3/2019,5,43823773,1040991,1,1
528862,1/3/2019,1,1431059,10098739,1,1
528862,1/3/2019,2,1431059,1038323,1,1
528862,1/3/2019,3,1431059,110441,1,1
528862,1/3/2019,4,1431059,1041107,1,1
528863,1/3/2019,1,2269872,1039306,1,1
528863,1/3/2019,2,2269872,10098739,1,1
528863,1/3/2019,3,2269872,110441,1,1
528864,1/3/2019,1,1255548,1039308,126,126
528864,1/3/2019,2,1255548,1039311,126,126
528864,1/3/2019,3,1255548,1039306,160,160
528864,1/3/2019,4,1255548,1041106,320,320
528864,1/3/2019,5,1255548,1041105,400,400
528864,1/3/2019,6,1255548,1041108,80,80
528865,1/3/2019,1,2269692,10098739,1,1
528865,1/3/2019,2,2269692,1040725,1,1
528865,1/3/2019,3,2269692,10106229,1,1
528866,1/3/2019,1,1967598,1040726,1,1
528866,1/3/2019,2,1967598,10098739,1,1
528866,1/3/2019,3,1967598,10105916,1,1
528866,1/3/2019,4,1967598,1038323,1,1
528866,1/3/2019,5,1967598,110441,1,1
528866,1/3/2019,6,1967598,1040992,1,1
528867,1/3/2019,1,1431057,10105916,1,1
528867,1/3/2019,2,1431057,10098739,1,1
528867,1/3/2019,3,1431057,1038323,1,1
528867,1/3/2019,4,1431057,110441,1,1
528868,1/3/2019,1,1255548,1040765,192,192
528868,1/3/2019,2,1255548,1040991,84,84
528868,1/3/2019,3,1255548,1041107,80,80
528868,1/3/2019,4,1255548,1040992,42,42
528868,1/3/2019,5,1255548,1040774,336,336
528868,1/3/2019,6,1255548,1040776,126,126
528869,1/3/2019,1,43824735,1039305,1,1
528870,1/3/2019,1,43824315,1038324,1,1
528870,1/3/2019,2,43824315,1038323,1,1
528870,1/3/2019,3,43824315,1029071,1,1
528870,1/3/2019,4,43824315,110441,1,1
528871,1/3/2019,1,43824731,1038323,1,1
528872,1/3/2019,1,2208690,10105916,1,1
528873,1/3/2019,1,1255548,1029071,48,48
528873,1/3/2019,2,1255548,1040726,48,48
528873,1/3/2019,3,1255548,10105916,42,42
528873,1/3/2019,4,1255548,10106230,48,48
528874,1/3/2019,1,1967598,1038323,1,1
528874,1/3/2019,2,1967598,110441,1,1
528875,1/3/2019,1,1833299,1040726,1,1
528875,1/3/2019,2,1833299,1038323,1,1
528876,1/3/2019,1,1431059,1039306,1,1
528876,1/3/2019,2,1431059,1040827,1,1
528876,1/3/2019,3,1431059,1040991,1,1
528877,1/3/2019,1,1543903,1038323,1,1
528878,1/3/2019,1,2269693,1040992,1,1
528879,1/3/2019,1,2208690,1041108,1,1
528880,1/3/2019,1,1833299,1038324,1,1
528880,1/3/2019,2,1833299,10098739,2,2
