Order No,Order Date,Line No,Ship To Address No,Item Code,Order Qty,Quantity Shipped
533028,1/19/2019,1,43823703,10098739,7,7
533028,1/19/2019,2,43823703,110441,3,3
533028,1/19/2019,3,43823703,1038324,1,1
533029,1/19/2019,1,1255627,10098739,1,1
533030,1/19/2019,1,2269455,10098739,22,22
533030,1/19/2019,2,2269455,1038323,1,1
533031,1/19/2019,1,2269865,10098739,12,12
533032,1/19/2019,1,2269401,10098739,2,2
533032,1/19/2019,2,2269401,1038323,1,1
533032,1/19/2019,3,2269401,1038324,1,1
533033,1/19/2019,1,43824333,10098739,20,20
533033,1/19/2019,2,43824333,110441,2,2
533033,1/19/2019,3,43824333,1038323,2,2
533033,1/19/2019,4,43824333,1038324,2,2
533034,1/19/2019,1,43824028,10098739,7,7
533034,1/19/2019,2,43824028,110441,4,4
533035,1/19/2019,1,1255619,10098739,5,5
533035,1/19/2019,2,1255619,110441,2,2
533036,1/19/2019,1,1509644,10135358,1,1
533037,1/19/2019,1,1544800,10098739,3,3
533037,1/19/2019,2,1544800,1038324,1,1
533038,1/19/2019,1,1255617,10098739,5,5
533038,1/19/2019,2,1255617,110441,2,2
533038,1/19/2019,3,1255617,1038323,3,3
533038,1/19/2019,4,1255617,1038324,1,1
533039,1/19/2019,1,43824387,110441,1,1
533039,1/19/2019,2,43824387,1038324,1,1
533040,1/19/2019,1,1344787,10098739,7,7
533041,1/19/2019,1,43825040,10098739,3,3
533042,1/19/2019,1,43824138,10098739,22,22
533042,1/19/2019,2,43824138,110441,1,1
533043,1/19/2019,1,1336816,10098739,1,1
533044,1/19/2019,1,1442428,10098739,6,6
533044,1/19/2019,2,1442428,110441,3,3
533044,1/19/2019,3,1442428,1038323,1,1
533044,1/19/2019,4,1442428,1038324,1,1
533045,1/19/2019,1,1255626,10098739,6,6
533045,1/19/2019,2,1255626,1038323,4,4
533045,1/19/2019,3,1255626,1038324,1,1
533046,1/19/2019,1,1850462,10098739,2,2
533046,1/19/2019,2,1850462,110441,3,3
533046,1/19/2019,3,1850462,1038323,3,3
533047,1/19/2019,1,1509644,10133703,1,1
533047,1/19/2019,2,1509644,10135358,2,2
533048,1/19/2019,1,1543985,110441,1,1
533049,1/19/2019,1,1804173,10098739,16,16
533049,1/19/2019,2,1804173,1038323,1,1
533050,1/19/2019,1,1953383,10098739,5,5
533051,1/19/2019,1,1953167,10098739,2,2
533051,1/19/2019,2,1953167,1038323,2,2
533051,1/19/2019,3,1953167,1038324,1,1
533052,1/19/2019,1,2269727,10098739,21,21
533052,1/19/2019,2,2269727,110441,2,2
533052,1/19/2019,3,2269727,1038324,1,1
533053,1/19/2019,1,1255622,10135358,1,1
533054,1/19/2019,1,2270199,10098739,12,12
533054,1/19/2019,2,2270199,110441,2,2
533054,1/19/2019,3,2270199,1038324,1,1
533055,1/19/2019,1,2079270,1038323,2,2
533056,1/19/2019,1,2270200,10098739,2,2
533056,1/19/2019,2,2270200,110441,1,1
533056,1/19/2019,3,2270200,1038324,1,1
533057,1/19/2019,1,43824511,10098739,8,8
533057,1/19/2019,2,43824511,1038323,1,1
533058,1/19/2019,1,2247979,10098739,9,9
533058,1/19/2019,2,2247979,110441,1,1
533058,1/19/2019,3,2247979,1038323,1,1
533058,1/19/2019,4,2247979,1038324,2,2
533059,1/19/2019,1,1255630,10135358,1,1
533060,1/19/2019,1,43824974,110441,1,1
533061,1/19/2019,1,43824313,110441,1,1
533061,1/19/2019,2,43824313,1038324,1,1
533062,1/19/2019,1,1255614,10135358,1,1
533063,1/19/2019,1,2247827,10098739,2,2
533064,1/19/2019,1,43825048,10098739,1,1
533065,1/19/2019,1,43824840,110441,1,1
533066,1/19/2019,1,1255615,10135358,1,1
533067,1/19/2019,1,43824946,110441,1,1
533068,1/19/2019,1,43824349,10098739,4,4
533068,1/19/2019,2,43824349,1038323,1,1
533069,1/19/2019,1,1509644,10135358,1,1
533070,1/19/2019,2,2269727,10105916,1,1
533070,1/19/2019,3,2269727,10106230,3,3
533070,1/19/2019,4,2269727,1040726,2,2
533070,1/19/2019,5,2269727,1040765,2,2
533070,1/19/2019,6,2269727,1040774,1,1
533070,1/19/2019,7,2269727,1040776,1,1
533070,1/19/2019,8,2269727,1041108,1,1
533070,1/19/2019,9,2269727,1041105,1,1
533070,1/19/2019,11,2269727,10135359,2,2
533070,1/19/2019,12,2269727,10135132,1,1
533071,1/19/2019,1,43824693,10098739,3,3
533071,1/19/2019,2,43824693,110441,1,1
533072,1/19/2019,1,1255128,10098739,16,16
533072,1/19/2019,2,1255128,110441,4,4
533072,1/19/2019,3,1255128,1038323,1,1
533072,1/19/2019,4,1255128,1038324,1,1
533073,1/19/2019,1,1255624,10098739,7,7
533073,1/19/2019,2,1255624,1038323,2,2
533074,1/19/2019,1,43824359,1038323,7,7
533075,1/19/2019,1,1255613,10098739,5,5
533075,1/19/2019,2,1255613,1038324,1,1
533076,1/19/2019,1,1255602,10098739,9,9
533076,1/19/2019,2,1255602,110441,4,4
533077,1/19/2019,1,1255606,10098739,13,13
533077,1/19/2019,2,1255606,110441,1,1
533077,1/19/2019,3,1255606,1038323,2,2
533077,1/19/2019,4,1255606,1038324,1,1
533078,1/19/2019,1,1255628,10098739,16,16
533079,1/19/2019,1,1255129,10098739,2,2
533079,1/19/2019,2,1255129,1038323,1,1
533080,1/19/2019,1,1255603,10106230,1,1
533080,1/19/2019,2,1255603,1041106,1,1
533080,1/19/2019,3,1255603,1041105,1,1
533080,1/19/2019,5,1255603,10135138,1,1
533081,1/19/2019,1,43824974,10135358,1,1
533083,1/19/2019,1,43824548,1029069,2,2
533083,1/19/2019,4,43824548,10106230,4,4
533083,1/19/2019,6,43824548,10137993,2,2
533083,1/19/2019,8,43824548,110441,4,4
533083,1/19/2019,9,43824548,1041106,16,16
533083,1/19/2019,10,43824548,1040774,10,10
533083,1/19/2019,11,43824548,1041105,4,4
533083,1/19/2019,12,43824548,1041108,12,12
533083,1/19/2019,13,43824548,1040776,8,8
533083,1/19/2019,14,43824548,1041107,4,4
533083,1/19/2019,15,43824548,1038323,2,2
533083,1/19/2019,17,43824548,10098739,10,10
533084,1/19/2019,1,43824548,1039305,2,2
533084,1/19/2019,2,43824548,10135140,2,2
533084,1/19/2019,3,43824548,10135131,4,4
533084,1/19/2019,4,43824548,10135132,2,2
533084,1/19/2019,5,43824548,10135771,25,25
533084,1/19/2019,6,43824548,10131275,60,60
533084,1/19/2019,7,43824548,1040765,10,10
533085,1/19/2019,1,1255624,1041108,1,1
533085,1/19/2019,2,1255624,1041105,1,1
533085,1/19/2019,3,1255624,10135359,1,1
533106,1/19/2019,1,1255614,1041105,4,4
533106,1/19/2019,2,1255614,1041107,1,1
533106,1/19/2019,3,1255614,1040991,2,2
533106,1/19/2019,4,1255614,10135359,1,1
533108,1/19/2019,1,1255630,10098739,2,2
533108,1/19/2019,2,1255630,110441,1,1
533108,1/19/2019,3,1255630,1038323,1,1
533108,1/19/2019,4,1255630,1038324,1,1
533109,1/19/2019,1,1402387,10098739,12,12
533109,1/19/2019,2,1402387,110441,2,2
533109,1/19/2019,3,1402387,1038323,1,1
533111,1/19/2019,1,43825201,10135358,1,1
533112,1/19/2019,1,43824138,1040765,2,2
533112,1/19/2019,2,43824138,1040774,1,1
533112,1/19/2019,3,43824138,1041105,1,1
533123,1/19/2019,3,43825036,10137993,1,1
533124,1/19/2019,1,43824265,1040776,1,1
533124,1/19/2019,2,43824265,1041106,1,1
533124,1/19/2019,3,43824265,1041108,1,1
533129,1/19/2019,1,43824265,10098739,2,2
533129,1/19/2019,2,43824265,10137993,1,1
533130,1/19/2019,1,43824256,1040776,1,1
533132,1/19/2019,1,43824254,1040765,1,1
533132,1/19/2019,2,43824254,1041106,1,1
533136,1/19/2019,1,43824267,1041106,1,1
533138,1/19/2019,1,43824263,1041106,1,1
533139,1/19/2019,1,43824271,10098739,2,2
533139,1/19/2019,2,43824271,1033341,1,1
533139,1/19/2019,3,43824271,10137993,1,1
533140,1/19/2019,1,43824269,1039305,1,1
533140,1/19/2019,2,43824269,10135132,1,1
533140,1/19/2019,3,43824269,1040765,1,1
533140,1/19/2019,4,43824269,1041106,2,2
533143,1/19/2019,1,43824269,10098739,1,1
533146,1/19/2019,1,43823887,10098739,7,7
533146,1/19/2019,2,43823887,1029071,1,1
533147,1/19/2019,1,43823887,1041106,1,1
533159,1/19/2019,2,43824110,1041107,1,1
533162,1/19/2019,1,1255585,1039305,1,1
533162,1/19/2019,2,1255585,10135131,1,1
533162,1/19/2019,3,1255585,10135132,1,1
533162,1/19/2019,4,1255585,10135140,1,1
533162,1/19/2019,5,1255585,1038323,6,6
533162,1/19/2019,6,1255585,1038324,6,6
533162,1/19/2019,7,1255585,1040765,5,5
533162,1/19/2019,8,1255585,1040774,5,5
533162,1/19/2019,9,1255585,1040776,5,5
533162,1/19/2019,10,1255585,10135138,1,1
533162,1/19/2019,11,1255585,10135359,1,1
533162,1/19/2019,12,1255585,1041106,5,5
533162,1/19/2019,13,1255585,1041108,5,5
533168,1/19/2019,1,1255585,1041105,6,6
533168,1/19/2019,2,1255585,1041107,5,5
533168,1/19/2019,3,1255585,10131275,10,10
533173,1/19/2019,1,1255585,10098739,2,2
533173,1/19/2019,2,1255585,110441,1,1
533173,1/19/2019,3,1255585,10137993,1,1
533176,1/19/2019,1,1255585,1038324,1,1
533176,1/19/2019,2,1255585,10131275,1,1
533178,1/19/2019,1,1255585,1039305,1,1
533178,1/19/2019,2,1255585,10135131,1,1
533178,1/19/2019,3,1255585,10135140,1,1
533178,1/19/2019,4,1255585,10135132,1,1
533178,1/19/2019,5,1255585,1038323,4,4
533178,1/19/2019,6,1255585,1038324,4,4
533178,1/19/2019,7,1255585,1040765,10,10
533178,1/19/2019,8,1255585,1040774,6,6
533178,1/19/2019,9,1255585,1040776,4,4
533178,1/19/2019,10,1255585,10135138,1,1
533178,1/19/2019,11,1255585,10135359,1,1
533178,1/19/2019,12,1255585,1041106,4,4
533178,1/19/2019,13,1255585,1041108,4,4
533179,1/19/2019,1,1255585,1041105,6,6
533179,1/19/2019,2,1255585,1041107,6,6
533179,1/19/2019,3,1255585,10131275,10,10
533184,1/19/2019,1,1255585,10098739,6,6
533185,1/19/2019,1,1255585,1039305,1,1
533185,1/19/2019,2,1255585,10135132,1,1
533185,1/19/2019,3,1255585,1038323,1,1
533185,1/19/2019,4,1255585,10135359,1,1
533185,1/19/2019,5,1255585,1041105,1,1
533188,1/19/2019,1,1255585,10098739,1,1
533191,1/19/2019,1,43824110,1029070,1,1
533196,1/19/2019,1,1255585,10098739,1,1
533196,1/19/2019,2,1255585,10137993,1,1
533198,1/19/2019,1,1255585,10106111,1,1
533200,1/19/2019,1,1255585,1040774,1,1
533200,1/19/2019,2,1255585,1041106,1,1
533201,1/19/2019,1,43824263,1039305,3,3
533201,1/19/2019,2,43824263,10098739,5,5
533201,1/19/2019,3,43824263,10135131,3,3
533201,1/19/2019,4,43824263,1040827,3,3
533201,1/19/2019,5,43824263,10135132,3,3
533201,1/19/2019,6,43824263,110441,5,5
533201,1/19/2019,7,43824263,1029071,4,4
533201,1/19/2019,8,43824263,1040726,3,3
533201,1/19/2019,9,43824263,1038324,3,3
533201,1/19/2019,10,43824263,1040765,10,10
533201,1/19/2019,11,43824263,1040774,8,8
533201,1/19/2019,12,43824263,1040776,3,3
533201,1/19/2019,13,43824263,1041106,8,8
533204,1/19/2019,1,43824263,1041105,3,3
533204,1/19/2019,3,43824263,10137993,10,10
533207,1/19/2019,2,43824564,110441,103,103
533207,1/19/2019,3,43824564,10133703,63,63
533207,1/19/2019,5,43824564,10098739,234,234
533224,1/19/2019,1,1254710,10135358,1,1
533225,1/19/2019,1,1254731,10133703,1,1
533225,1/19/2019,2,1254731,10135358,1,1
533225,1/19/2019,4,1254731,10135359,3,3
533225,1/19/2019,5,1254731,10135138,2,2
533226,1/19/2019,1,1551997,10133703,1,1
533226,1/19/2019,2,1551997,10135358,1,1
533226,1/19/2019,4,1551997,10135359,1,1
533226,1/19/2019,5,1551997,10135138,1,1
533227,1/19/2019,1,1254734,10135359,2,2
533227,1/19/2019,3,1254734,10135138,1,1
533228,1/19/2019,1,1254707,1033341,1,1
533228,1/19/2019,3,1254707,10106111,1,1
533228,1/19/2019,4,1254707,1029070,1,1
533228,1/19/2019,5,1254707,1029071,2,2
533228,1/19/2019,6,1254707,1038324,2,2
533228,1/19/2019,7,1254707,1040726,1,1
533228,1/19/2019,8,1254707,1038323,3,3
533228,1/19/2019,9,1254707,110441,10,10
533228,1/19/2019,10,1254707,10098739,11,11
533229,1/19/2019,1,1254732,10133703,7,7
533230,1/19/2019,1,43824769,10133703,2,2
533230,1/19/2019,2,43824769,10135358,4,4
533230,1/19/2019,3,43824769,10135359,5,5
533230,1/19/2019,5,43824769,10135138,4,4
533231,1/19/2019,2,1633157,10135359,1,1
533231,1/19/2019,3,1633157,10135138,1,1
533232,1/19/2019,1,1912451,10133703,1,1
533232,1/19/2019,2,1912451,10135358,1,1
533232,1/19/2019,3,1912451,10135359,2,2
533232,1/19/2019,5,1912451,10135138,1,1
533233,1/19/2019,1,1254708,10135359,2,2
533233,1/19/2019,3,1254708,10135138,1,1
533234,1/19/2019,2,1912432,10135359,2,2
533234,1/19/2019,3,1912432,10135358,1,1
533234,1/19/2019,4,1912432,10133703,1,1
533234,1/19/2019,5,1912432,10135138,2,2
533235,1/19/2019,1,1254720,10135359,1,1
533235,1/19/2019,3,1254720,10135138,1,1
533236,1/19/2019,2,1642075,10135359,2,2
533236,1/19/2019,3,1642075,10135138,2,2
533237,1/19/2019,1,1492473,10135358,1,1
533238,1/19/2019,1,1254728,10135358,1,1
533239,1/19/2019,1,43824777,10135359,2,2
533240,1/19/2019,1,1254711,10135359,4,4
533240,1/19/2019,3,1254711,10135138,2,2
533241,1/19/2019,1,1254707,10135359,4,4
533241,1/19/2019,3,1254707,10135138,2,2
533242,1/19/2019,2,1254721,10135359,1,1
533242,1/19/2019,3,1254721,10135138,2,2
533243,1/19/2019,1,1254704,10135359,31,31
533243,1/19/2019,3,1254704,10135138,19,19
533244,1/19/2019,1,1254708,1029071,1,1
533244,1/19/2019,2,1254708,1039305,1,1
533244,1/19/2019,3,1254708,1038323,1,1
533245,1/19/2019,1,2247773,1038323,1,1
533246,1/19/2019,1,1254720,1039305,1,1
533246,1/19/2019,2,1254720,10135131,1,1
533246,1/19/2019,3,1254720,10106111,1,1
533246,1/19/2019,4,1254720,1038324,1,1
533246,1/19/2019,5,1254720,1040827,1,1
533246,1/19/2019,6,1254720,1039822,1,1
533247,1/19/2019,1,1254721,10135131,1,1
533247,1/19/2019,2,1254721,10105916,2,2
533247,1/19/2019,3,1254721,1039305,1,1
533247,1/19/2019,4,1254721,1033341,1,1
533247,1/19/2019,5,1254721,1029070,1,1
533247,1/19/2019,6,1254721,1029071,1,1
533247,1/19/2019,7,1254721,1040726,1,1
533247,1/19/2019,8,1254721,1040725,1,1
533247,1/19/2019,9,1254721,1038323,2,2
533247,1/19/2019,10,1254721,1041108,1,1
533247,1/19/2019,11,1254721,1041107,1,1
533247,1/19/2019,12,1254721,10106229,1,1
533248,1/19/2019,2,1642075,1029071,1,1
533248,1/19/2019,3,1642075,1033341,1,1
533248,1/19/2019,4,1642075,10135131,1,1
533248,1/19/2019,5,1642075,10105916,2,2
533248,1/19/2019,6,1642075,1038323,2,2
533248,1/19/2019,7,1642075,1038324,1,1
533248,1/19/2019,8,1642075,1039822,1,1
533248,1/19/2019,9,1642075,10098739,1,1
533249,1/19/2019,1,1254734,1033341,1,1
533249,1/19/2019,2,1254734,10106111,1,1
533249,1/19/2019,3,1254734,10105916,1,1
533249,1/19/2019,4,1254734,1029071,1,1
533249,1/19/2019,5,1254734,10135131,1,1
533249,1/19/2019,6,1254734,1040726,1,1
533249,1/19/2019,7,1254734,1038323,1,1
533249,1/19/2019,8,1254734,1040827,1,1
533250,1/19/2019,2,1254733,1038323,3,3
533250,1/19/2019,3,1254733,1038324,3,3
533250,1/19/2019,4,1254733,110441,2,2
533250,1/19/2019,6,1254733,10098739,9,9
533251,1/19/2019,1,1633157,1033341,1,1
533251,1/19/2019,2,1633157,1040726,1,1
533251,1/19/2019,3,1633157,1029071,1,1
533251,1/19/2019,4,1633157,1038323,1,1
533251,1/19/2019,5,1633157,1038324,1,1
533251,1/19/2019,6,1633157,110441,2,2
533252,1/19/2019,2,1254706,1038323,2,2
533252,1/19/2019,3,1254706,1038324,2,2
533252,1/19/2019,4,1254706,110441,1,1
533252,1/19/2019,5,1254706,10098739,1,1
533253,1/19/2019,1,1254726,1038323,2,2
533253,1/19/2019,2,1254726,110441,8,8
533253,1/19/2019,3,1254726,1039823,1,1
533254,1/19/2019,2,1751514,1038323,1,1
533254,1/19/2019,3,1751514,1038324,1,1
533254,1/19/2019,4,1751514,10098739,10,10
533255,1/19/2019,1,43824775,1038323,1,1
533255,1/19/2019,2,43824775,1038324,1,1
533256,1/19/2019,1,43824777,1038323,1,1
533256,1/19/2019,2,43824777,1038324,1,1
533256,1/19/2019,3,43824777,1040827,1,1
533256,1/19/2019,4,43824777,1041107,1,1
533257,1/19/2019,1,2191635,1038323,1,1
533257,1/19/2019,2,2191635,1038324,4,4
533257,1/19/2019,3,2191635,110441,1,1
533258,1/19/2019,1,1254711,1033341,1,1
533258,1/19/2019,2,1254711,10135131,1,1
533258,1/19/2019,4,1254711,1038323,1,1
533258,1/19/2019,5,1254711,1038324,2,2
533258,1/19/2019,6,1254711,1040726,1,1
533258,1/19/2019,7,1254711,1041108,1,1
533258,1/19/2019,8,1254711,110441,5,5
533258,1/19/2019,9,1254711,1041107,1,1
533258,1/19/2019,10,1254711,10098739,7,7
533259,1/19/2019,1,1492473,1038323,2,2
533259,1/19/2019,2,1492473,1038324,2,2
533260,1/19/2019,2,1254723,1038323,1,1
533260,1/19/2019,3,1254723,1038324,1,1
533260,1/19/2019,4,1254723,110441,5,5
533260,1/19/2019,5,1254723,10098739,12,12
533261,1/19/2019,1,1642075,1041108,1,1
533261,1/19/2019,2,1642075,1041107,1,1
533262,1/19/2019,1,1254708,1041108,1,1
533263,1/19/2019,1,2229605,1040726,1,1
533263,1/19/2019,2,2229605,1038324,1,1
533264,1/19/2019,1,1509644,110441,1,1
533264,1/19/2019,2,1509644,1038323,1,1
533265,1/19/2019,1,43823998,10135359,1,1
533265,1/19/2019,3,43823998,10135138,1,1
533308,1/20/2019,1,1795849,111931,1500,1500
533309,1/20/2019,1,1795849,111931,150,150
533310,1/20/2019,1,1795849,111931,150,150
533320,1/20/2019,1,1254612,110441,15,15
533320,1/20/2019,2,1254612,1038323,10,10
533320,1/20/2019,3,1254612,1038324,7,7
533320,1/20/2019,5,1254612,10098739,35,35
533321,1/20/2019,1,1254612,1029070,2,2
533321,1/20/2019,2,1254612,10106111,2,2
533321,1/20/2019,3,1254612,10137990,7,7
533321,1/20/2019,5,1254612,10106230,14,14
533321,1/20/2019,6,1254612,1040725,2,2
533321,1/20/2019,7,1254612,1040726,7,7
533321,1/20/2019,8,1254612,10137993,7,7
533321,1/20/2019,9,1254612,1040765,14,14
533321,1/20/2019,10,1254612,1040774,16,16
533321,1/20/2019,11,1254612,1040776,2,2
533321,1/20/2019,12,1254612,1041106,4,4
533321,1/20/2019,13,1254612,1041105,2,2
533321,1/20/2019,14,1254612,1029071,5,5
533322,1/20/2019,1,1254612,1033341,3,3
533322,1/20/2019,2,1254612,1040827,1,1
533323,1/20/2019,8,1254612,10135140,2,2
533323,1/20/2019,10,1254612,10135132,1,1
533323,1/20/2019,11,1254612,1039823,1,1
533323,1/20/2019,12,1254612,10135138,1,1
533323,1/20/2019,13,1254612,10135359,2,2
533323,1/20/2019,14,1254612,1039305,2,2
533323,1/20/2019,15,1254612,10135131,2,2
533324,1/20/2019,1,1254737,1040774,10,10
533324,1/20/2019,2,1254737,1041106,7,7
533324,1/20/2019,3,1254737,1040765,4,4
533324,1/20/2019,4,1254737,1040776,5,5
533325,1/20/2019,2,1255216,1029069,3,3
533325,1/20/2019,3,1255216,1029070,2,2
533325,1/20/2019,4,1255216,1029071,8,8
533325,1/20/2019,5,1255216,1033341,4,4
533325,1/20/2019,6,1255216,1040725,9,9
533325,1/20/2019,7,1255216,1040726,14,14
533325,1/20/2019,8,1255216,1040765,46,46
533325,1/20/2019,9,1255216,1040827,6,6
533325,1/20/2019,10,1255216,1041105,58,58
533325,1/20/2019,11,1255216,110441,40,40
533326,1/20/2019,1,1255216,10133703,15,15
533326,1/20/2019,2,1255216,1038323,9,9
533326,1/20/2019,3,1255216,1038324,9,9
533326,1/20/2019,5,1255216,10135132,27,27
533328,1/20/2019,1,1255235,10135358,2,2
533328,1/20/2019,2,1255235,10133703,10,10
533329,1/20/2019,1,1255235,1029069,2,2
533329,1/20/2019,3,1255235,1040827,2,2
533329,1/20/2019,4,1255235,10098739,40,40
533329,1/20/2019,5,1255235,110441,30,30
533329,1/20/2019,6,1255235,1040725,3,3
533329,1/20/2019,7,1255235,1038323,10,10
533329,1/20/2019,8,1255235,10106111,2,2
533329,1/20/2019,9,1255235,10106230,10,10
533329,1/20/2019,10,1255235,1039823,1,1
533329,1/20/2019,11,1255235,1040774,5,5
533329,1/20/2019,12,1255235,1041106,5,5
533329,1/20/2019,13,1255235,1041105,10,10
533329,1/20/2019,14,1255235,1029071,5,5
533331,1/20/2019,1,1254802,10135358,5,5
533331,1/20/2019,2,1254802,10133703,10,10
533332,1/20/2019,1,1254802,1029071,5,5
533332,1/20/2019,2,1254802,1033341,2,2
533332,1/20/2019,3,1254802,1040827,2,2
533332,1/20/2019,4,1254802,10098739,50,50
533332,1/20/2019,5,1254802,110441,30,30
533332,1/20/2019,6,1254802,1039305,3,3
533332,1/20/2019,7,1254802,10135140,5,5
533332,1/20/2019,8,1254802,10135131,3,3
533332,1/20/2019,9,1254802,10135132,2,2
533332,1/20/2019,10,1254802,1038323,20,20
533332,1/20/2019,11,1254802,1040765,20,20
533332,1/20/2019,12,1254802,10135138,2,2
533332,1/20/2019,13,1254802,10135359,2,2
533332,1/20/2019,14,1254802,1041105,10,10
533357,1/20/2019,1,43823585,10098739,5,5
533357,1/20/2019,4,43823585,10106230,2,2
533357,1/20/2019,5,43823585,1029069,1,1
533357,1/20/2019,6,43823585,1033341,1,1
533357,1/20/2019,8,43823585,1040765,17,17
533357,1/20/2019,9,43823585,1040774,12,12
533357,1/20/2019,10,43823585,1040776,6,6
533357,1/20/2019,11,43823585,1041105,10,10
533357,1/20/2019,12,43823585,1041106,18,18
533357,1/20/2019,13,43823585,1041108,5,5
533357,1/20/2019,14,43823585,10137990,4,4
533357,1/20/2019,15,43823585,10137993,2,2
533358,1/20/2019,1,43823585,10133703,25,25
533358,1/20/2019,2,43823585,10135358,25,25
533358,1/20/2019,3,43823585,1038323,5,5
533358,1/20/2019,4,43823585,1039305,6,6
533358,1/20/2019,11,43823585,1041107,2,2
533358,1/20/2019,12,43823585,1038324,4,4
533358,1/20/2019,13,43823585,10135131,5,5
533358,1/20/2019,14,43823585,10135140,5,5
533358,1/20/2019,15,43823585,10135132,2,2
533358,1/20/2019,16,43823585,10135138,3,3
533358,1/20/2019,17,43823585,10135359,6,6
533374,1/20/2019,2,1255591,10137990,1,1
533378,1/20/2019,1,1255583,10137990,1,1
533379,1/20/2019,1,1255581,10137990,2,2
533381,1/20/2019,1,1255586,10137990,1,1
533383,1/20/2019,1,1255576,10137990,1,1
533384,1/20/2019,1,1607998,10137990,1,1
533385,1/20/2019,1,1255580,10137990,1,1
533386,1/20/2019,1,1264969,10137990,1,1
533387,1/20/2019,1,1265546,10137990,2,2
533388,1/20/2019,1,1265795,10137990,1,1
533389,1/20/2019,1,1353248,10137990,1,1
533391,1/20/2019,1,1353114,10137990,1,1
533392,1/20/2019,1,1751452,10137990,1,1
533393,1/20/2019,1,1554575,10137990,2,2
533394,1/20/2019,1,43824513,10137990,1,1
533395,1/20/2019,1,1673777,10137990,1,1
533396,1/20/2019,1,1735855,10137990,1,1
533397,1/20/2019,1,1832989,10137990,1,1
533399,1/20/2019,1,1953469,10137990,1,1
533400,1/20/2019,1,1857843,10137990,1,1
533401,1/20/2019,1,1953449,10137990,1,1
533402,1/20/2019,1,2057651,10137990,1,1
533404,1/20/2019,1,2079338,10137990,1,1
533405,1/20/2019,1,2017221,10137990,1,1
533407,1/20/2019,1,2247538,10137990,1,1
533408,1/20/2019,1,2250089,10137990,1,1
533409,1/20/2019,1,2250091,10137990,1,1
533410,1/20/2019,1,2264626,10137990,1,1
533412,1/20/2019,1,2269726,10137990,1,1
533413,1/20/2019,1,2037004,10137990,1,1
533414,1/20/2019,1,43823571,10137990,1,1
533415,1/20/2019,1,43824030,10137990,1,1
533416,1/20/2019,1,1255588,10137990,1,1
533418,1/20/2019,1,1353112,10137990,1,1
533419,1/20/2019,1,1604097,10137990,1,1
533420,1/20/2019,1,1700677,10137990,1,1
533421,1/20/2019,1,1843928,10137990,1,1
533422,1/20/2019,1,1680037,10137990,1,1
533424,1/20/2019,1,1876884,10137990,1,1
533425,1/20/2019,1,1876885,10137990,1,1
533426,1/20/2019,1,2027378,10137990,1,1
533428,1/20/2019,1,2016291,10137990,1,1
533429,1/20/2019,1,2017228,10137990,1,1
533443,1/20/2019,1,2203719,10137990,2,2
533444,1/20/2019,1,2203449,10137990,11,11
533446,1/20/2019,1,2203715,10137990,22,22
533455,1/20/2019,1,2269693,10106230,1,1
533457,1/20/2019,1,1509644,1041105,1,1
533457,1/20/2019,2,1509644,10106230,1,1
533457,1/20/2019,3,1509644,1039308,1,1
533458,1/20/2019,1,1509644,10137990,1,1
533459,1/20/2019,1,2269872,1038323,1,1
533460,1/20/2019,1,43824735,10098739,3,3
533460,1/20/2019,2,43824735,10106111,1,1
533460,1/20/2019,3,43824735,1038323,1,1
533460,1/20/2019,4,43824735,1039823,1,1
533461,1/20/2019,1,1431057,1038323,1,1
533461,1/20/2019,2,1431057,1039305,1,1
533461,1/20/2019,3,1431057,1041108,1,1
533461,1/20/2019,4,1431057,110441,1,1
533462,1/20/2019,1,1751541,1038323,1,1
533463,1/20/2019,1,43824315,10098739,6,6
533463,1/20/2019,2,43824315,110441,2,2
533464,1/20/2019,1,1833299,1040725,1,1
533464,1/20/2019,2,1833299,10098739,1,1
533465,1/20/2019,1,2269692,10106111,1,1
533465,1/20/2019,2,2269692,10098739,1,1
533465,1/20/2019,3,2269692,1040726,1,1
533465,1/20/2019,4,2269692,1038324,1,1
533466,1/20/2019,1,2168582,1038324,1,1
533467,1/20/2019,1,43824719,1040725,1,1
533467,1/20/2019,2,43824719,1041108,1,1
533467,1/20/2019,3,43824719,110441,1,1
533468,1/20/2019,1,1967598,1038324,4,4
533468,1/20/2019,2,1967598,1041108,1,1
533468,1/20/2019,3,1967598,110441,1,1
533468,1/20/2019,4,1967598,10106229,1,1
533469,1/20/2019,1,2269693,10135131,1,1
533469,1/20/2019,2,2269693,1038323,1,1
533469,1/20/2019,3,2269693,10098739,4,4
533469,1/20/2019,4,2269693,1038324,1,1
533470,1/20/2019,1,1543903,1041107,1,1
533471,1/20/2019,1,43823773,10098739,1,1
533471,1/20/2019,2,43823773,1040725,1,1
533471,1/20/2019,3,43823773,110441,1,1
533472,1/20/2019,1,1912760,1038323,1,1
533472,1/20/2019,2,1912760,10137990,1,1
533472,1/20/2019,3,1912760,1033341,1,1
533472,1/20/2019,4,1912760,10098739,3,3
533472,1/20/2019,5,1912760,110441,1,1
533473,1/20/2019,1,43824727,1039823,1,1
533474,1/20/2019,1,2208690,1038323,1,1
533474,1/20/2019,2,2208690,1029071,1,1
533474,1/20/2019,3,2208690,1040726,1,1
533475,1/20/2019,1,1510339,1040774,3,3
